"","day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"1",3,2018,1,2,2018-01-02,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,0,654
"2",2,2018,1,1,2018-01-01,9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,0,453
"3",6,2014,1,24,2014-01-24,14.8,-0.5,1022.4,10,11.8,15.9,22.9,23,9,0,0,705
"4",4,2015,1,7,2015-01-07,22.6,10.2,1011.8,9.4,12.1,26,35.9,27,17.1,0,0,538
"5",7,2018,1,6,2018-01-06,13.2,-0.2,1013.5,10,22.4,28,39,27,10.9,0,0,599
"6",5,2015,1,8,2015-01-08,13.1,-2.4,1022.7,9.9,14.8,21,29.9,27,6.1,0,0,573
"7",4,2014,1,29,2014-01-29,20.3,10.4,1021.2,6.3,8.1,14,18.2,27,17.1,0.02,0,649
"8",5,2014,1,30,2014-01-30,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,0,657
"9",2,2017,1,9,2017-01-09,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,0,669
"10",3,2015,1,6,2015-01-06,20.8,5.2,1025.2,8.8,10.3,21,31.1,28,19,0,0,777
"11",3,2019,1,22,2019-01-22,15.8,-2.3,1026.7,10,17.6,27,36.9,28,6.1,0,0,627
"12",7,2013,1,26,2013-01-26,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,0,558
"13",7,2015,1,10,2015-01-10,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,0,481
"14",7,2019,1,12,2019-01-12,23.1,3.7,1029,10,12.9,19,28,32,18,0,0,520
"15",2,2013,1,28,2013-01-28,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,0,507
"16",6,2018,1,26,2018-01-26,25.3,7,1035,10,14.4,21,31.1,32,21,0,0,677
"17",4,2014,1,1,2014-01-01,28.2,10.4,1025.6,10,11.3,21,28.9,32,25,0,0,399
"18",3,2013,1,22,2013-01-22,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,1,544
"19",7,2015,1,31,2015-01-31,24.5,12.9,1006.9,7.8,20.3,27,36.9,34,17.1,0.06,0,526
"20",4,2014,1,8,2014-01-08,18.2,5,1028.1,10,12,17.1,26,34,12,0,0,616
"21",6,2018,1,19,2018-01-19,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,0,599
"22",5,2015,1,29,2015-01-29,29.2,20.9,1022.9,10,8.5,13,20,36,19,0,0,519
"23",1,2017,1,15,2017-01-15,33.6,24.8,1025.3,9,10.8,19,22.9,36,25,0.01,0,490
"24",4,2014,1,22,2014-01-22,25,20.3,1001.1,1.9,25.7,35.9,46,36,18,0.01,1,498
"25",6,2015,1,9,2015-01-09,35.2,22.5,1018.1,9.5,21,38.1,49,46,26.1,0,0,751
"26",5,2016,1,28,2016-01-28,35,24.4,1016.1,10,4.3,8.9,11.57,46,23,0.09,0,681
"27",4,2013,1,9,2013-01-09,39.9,37.6,1026.2,6.8,5.3,11.1,14.43,46,28,0,1,487
"28",2,2018,1,29,2018-01-29,40.3,37.7,1021.4,6.9,12.1,26,34,46,37,0.2,1,531
"29",1,2018,1,28,2018-01-28,43.4,43.2,1025.3,4.4,9.5,18.1,23.53,46,28.9,0.01,1,412
"30",5,2014,1,16,2014-01-16,40.8,39.3,1010.6,4.6,5.9,11.1,14.43,46,32,0,0,521
"31",7,2018,1,27,2018-01-27,36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,0,510
"32",7,2017,1,21,2017-01-21,42.3,37.5,1011.3,6.7,7.5,17.1,20,46,37,0,1,475
"33",4,2016,1,27,2016-01-27,43,36.7,1014,7.5,9.4,15,19.5,48,36,0,0,670
"34",6,2016,1,8,2016-01-08,41.3,33.1,1022.3,9.9,11.8,20,28,48,30.9,0,0,602
"35",3,2014,1,14,2014-01-14,45.5,43.2,1012.5,5.2,11.8,15,22,48,28.9,0,1,559
"36",5,2017,1,5,2017-01-05,36.4,19.7,1007.8,10,15.4,22.9,33,48,32,0,0,552
"37",3,2013,1,8,2013-01-08,39.8,34.1,1028.8,9.8,10.4,17.1,25.1,48,25,0,0,513
"38",5,2013,1,10,2013-01-10,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,0,555
"39",1,2017,1,1,2017-01-01,44.4,33.6,1017.4,9,13.4,18.1,27,48,39,0.03,0,485
"40",6,2018,1,12,2018-01-12,43.7,43.7,1021.7,5.6,13.4,19,27,48,30.9,0,1,704
"41",5,2017,1,26,2017-01-26,44.3,39.9,997.4,9,9.7,18.1,24.1,50,37.9,0.02,0,563
"42",2,2015,1,19,2015-01-19,41.7,36,1005,8.2,13.5,25.1,46,50,30.9,0.26,0,496
"43",4,2017,1,11,2017-01-11,45,40.9,1027.3,6.5,15.1,27,34,50,28.9,0.33,0,629
"44",7,2016,1,9,2016-01-09,45.9,38.6,1022.7,10,9.3,15.9,21,50,30.9,0,0,554
