"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","visib","wdsp","fog","NUM_COLLISIONS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,14.7,10,12.9,0,0.547719941357949
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,9.5,10,15,0,-1.456018269624
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,14.8,10,11.8,0,1.05613112921904
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,22.6,9.4,12.1,0,-0.608666289855514
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,13.2,10,22.4,0,-0.000566633786365205
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,13.1,9.9,14.8,0,-0.259756651127314
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,20.3,6.3,8.1,0,0.49787570725392
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,22,10,8.1,0,0.577626481820366
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,18.3,10,11,0,0.697252643670035
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,20.8,8.8,10.3,0,1.77388810031705
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,15.8,10,17.6,0,0.278561077196195
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,24.4,8.6,10.5,0,-0.409289353439399
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,26.9,10,10.2,0,-1.17689055864144
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,23.1,10,12.9,0,-0.788105532630016
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,27.3,8.8,7.4,0,-0.917700541300491
"16",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,25.3,10,14.4,0,0.77700341823648
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,28.2,10,11.3,0,-1.99433599794751
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,26.3,6.5,10.8,1,-0.548853208930679
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,24.5,7.8,20.3,0,-0.728292451705182
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,18.2,10,12,0,0.168903762167332
"21",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,28.9,10,10.5,0,-0.000566633786365205
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,29.2,10,8.5,0,-0.798074379450822
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,33.6,9,10.8,0,-1.08717093725419
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,25,1.9,25.7,1,-1.00742016268774
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,35.2,9.5,21,0,1.5146980829761
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,35,10,4.3,0,0.816878805519703
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,39.9,6.8,5.3,1,-1.11707747771661
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,40.3,6.9,12.1,1,-0.678448217601154
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018,43.4,4.4,9.5,1,-1.86474098927703
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,40.8,4.6,5.9,0,-0.778136685809211
"31",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,36.8,10,12.2,0,-0.887794000838074
"32",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,42.3,6.7,7.5,1,-1.23670363956627
"33",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,43,7.5,9.4,0,0.70722149049084
"34",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,41.3,9.9,11.8,0,0.0293399066760519
"35",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,45.5,5.2,11.8,1,-0.399320506618594
"36",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,36.4,10,15.4,0,-0.469102434364234
"37",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,39.8,9.8,10.4,0,-0.857887460375656
"38",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,43.5,9.9,14.7,0,-0.439195893901817
"39",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017,44.4,9,13.4,0,-1.13701517135822
"40",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018,43.7,5.6,13.4,1,1.04616228239823
"41",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,44.3,9,9.7,0,-0.359445119335371
"42",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,41.7,8.2,13.5,0,-1.02735785632935
"43",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,45,6.5,15.1,0,0.298498770837806
"44",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,45.9,10,9.3,0,-0.449164740722622
"45",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2016,33,10,7.9,0,0.378249545404252
"46",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,45,8.6,12.5,0,-0.668479370780348
"47",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,40,9.2,13.4,0,3.6081559153453
"48",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,37.4,10,7.1,0,-1.49589365690722
"49",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,29.8,10,10.2,0,-1.03732670315016
"50",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,46.3,7,14.9,0,-2.05414907887234
"51",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2017,46.8,7.2,12.6,0,0.0492776003176634
"52",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019,43.2,2.8,17,1,-1.87470983609784
"53",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,23.9,9.4,17.6,0,-1.07720209043338
"54",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015,32.6,8.4,16.3,0,0.138997221704915
"55",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2015,40.9,7.7,6.3,1,-0.189974723381674
"56",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,38.2,10,13.5,0,0.0193710598552462
"57",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,37,8.9,14,0,0.667346103207618
"58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2016,44.4,10,15.5,0,-1.66536405286092
"59",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019,46.5,5.2,19.2,0,-0.0703485615320052
"60",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,46.3,2.5,14.8,1,-0.808043226271628
"61",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,45.4,3,19.2,1,0.0393087534968576
"62",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2019,47.4,5.4,18.3,1,-1.68530174650253
"63",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,46.5,5.9,23.1,1,-0.0703485615320052
"64",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,48.6,1.9,15.5,1,-2.17377524072201
"65",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,29.4,10,18.9,0,0.238685689912972
"66",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,25,10,13.1,0,-0.0304731742487823
"67",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2019,28.6,10,14.2,0,0.448031473149892
"68",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,30.9,10,14.5,0,0.667346103207618
"69",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015,27.1,10,8.8,0,-2.57252911355424
"70",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.1,8,9.6,0,-0.927669388121297
"71",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2015,31.6,10,10.4,0,-0.0105354806071709
"72",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,35.5,8.4,8.4,0,-0.907731694479685
"73",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,32.3,10,7.9,0,-1.03732670315016
"74",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,36,5.5,7.7,1,0.119059528063303
"75",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014,26.8,9.4,17.8,0,-1.33639210777433
