"","day","temp","visib","wdsp","fog","NUM_COLLISIONS"
"1",3,14.7,10,12.9,0,0.547719941357949
"2",2,9.5,10,15,0,-1.456018269624
"3",6,14.8,10,11.8,0,1.05613112921904
"4",4,22.6,9.4,12.1,0,-0.608666289855514
"5",7,13.2,10,22.4,0,-0.000566633786365205
"6",5,13.1,9.9,14.8,0,-0.259756651127314
"7",4,20.3,6.3,8.1,0,0.49787570725392
"8",5,22,10,8.1,0,0.577626481820366
"9",2,18.3,10,11,0,0.697252643670035
"10",3,20.8,8.8,10.3,0,1.77388810031705
"11",3,15.8,10,17.6,0,0.278561077196195
"12",7,24.4,8.6,10.5,0,-0.409289353439399
"13",7,26.9,10,10.2,0,-1.17689055864144
"14",7,23.1,10,12.9,0,-0.788105532630016
"15",2,27.3,8.8,7.4,0,-0.917700541300491
"16",6,25.3,10,14.4,0,0.77700341823648
"17",4,28.2,10,11.3,0,-1.99433599794751
"18",3,26.3,6.5,10.8,1,-0.548853208930679
"19",7,24.5,7.8,20.3,0,-0.728292451705182
"20",4,18.2,10,12,0,0.168903762167332
"21",6,28.9,10,10.5,0,-0.000566633786365205
"22",5,29.2,10,8.5,0,-0.798074379450822
"23",1,33.6,9,10.8,0,-1.08717093725419
"24",4,25,1.9,25.7,1,-1.00742016268774
"25",6,35.2,9.5,21,0,1.5146980829761
"26",5,35,10,4.3,0,0.816878805519703
"27",4,39.9,6.8,5.3,1,-1.11707747771661
"28",2,40.3,6.9,12.1,1,-0.678448217601154
"29",1,43.4,4.4,9.5,1,-1.86474098927703
"30",5,40.8,4.6,5.9,0,-0.778136685809211
"31",7,36.8,10,12.2,0,-0.887794000838074
"32",7,42.3,6.7,7.5,1,-1.23670363956627
"33",4,43,7.5,9.4,0,0.70722149049084
"34",6,41.3,9.9,11.8,0,0.0293399066760519
"35",3,45.5,5.2,11.8,1,-0.399320506618594
"36",5,36.4,10,15.4,0,-0.469102434364234
"37",3,39.8,9.8,10.4,0,-0.857887460375656
"38",5,43.5,9.9,14.7,0,-0.439195893901817
"39",1,44.4,9,13.4,0,-1.13701517135822
"40",6,43.7,5.6,13.4,1,1.04616228239823
"41",5,44.3,9,9.7,0,-0.359445119335371
"42",2,41.7,8.2,13.5,0,-1.02735785632935
"43",4,45,6.5,15.1,0,0.298498770837806
"44",7,45.9,10,9.3,0,-0.449164740722622
"45",3,33,10,7.9,0,0.378249545404252
"46",1,45,8.6,12.5,0,-0.668479370780348
"47",1,40,9.2,13.4,0,3.6081559153453
"48",2,37.4,10,7.1,0,-1.49589365690722
"49",7,29.8,10,10.2,0,-1.03732670315016
"50",1,46.3,7,14.9,0,-2.05414907887234
"51",6,46.8,7.2,12.6,0,0.0492776003176634
"52",1,43.2,2.8,17,1,-1.87470983609784
"53",3,23.9,9.4,17.6,0,-1.07720209043338
"54",3,32.6,8.4,16.3,0,0.138997221704915
"55",2,40.9,7.7,6.3,1,-0.189974723381674
"56",2,38.2,10,13.5,0,0.0193710598552462
"57",6,37,8.9,14,0,0.667346103207618
"58",1,44.4,10,15.5,0,-1.66536405286092
"59",5,46.5,5.2,19.2,0,-0.0703485615320052
"60",2,46.3,2.5,14.8,1,-0.808043226271628
"61",7,45.4,3,19.2,1,0.0393087534968576
"62",3,47.4,5.4,18.3,1,-1.68530174650253
"63",5,46.5,5.9,23.1,1,-0.0703485615320052
"64",1,48.6,1.9,15.5,1,-2.17377524072201
"65",4,29.4,10,18.9,0,0.238685689912972
"66",4,25,10,13.1,0,-0.0304731742487823
"67",6,28.6,10,14.2,0,0.448031473149892
"68",5,30.9,10,14.5,0,0.667346103207618
"69",1,27.1,10,8.8,0,-2.57252911355424
"70",4,32.1,8,9.6,0,-0.927669388121297
"71",6,31.6,10,10.4,0,-0.0105354806071709
"72",5,35.5,8.4,8.4,0,-0.907731694479685
"73",4,32.3,10,7.9,0,-1.03732670315016
"74",4,36,5.5,7.7,1,0.119059528063303
"75",1,26.8,9.4,17.8,0,-1.33639210777433
"76",7,32,8.5,17,0,-1.23670363956627
"77",6,32.2,10,11.3,0,-0.937638234942102
"78",5,32.4,8.4,10.2,0,0.348343004941835
"79",5,39.4,8.6,8.6,1,-1.07720209043338
"80",3,38,10,15,0,-2.17377524072201
"81",6,35.1,8.4,8.1,0,0.228716843092166
"82",6,31.7,6.1,8.9,1,0.00940221303444051
"83",1,36.1,10,16.5,0,-2.18374408754282
"84",2,31.2,6.7,12.7,0,-1.14698401817902
