"","day","mo","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
"1",3,1,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,0,0.547719941357949
"2",2,1,9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,0,-1.456018269624
"3",6,1,14.8,-0.5,1022.4,10,11.8,15.9,22.9,23,9,0,0,1.05613112921904
"4",4,1,22.6,10.2,1011.8,9.4,12.1,26,35.9,27,17.1,0,0,-0.608666289855514
"5",7,1,13.2,-0.2,1013.5,10,22.4,28,39,27,10.9,0,0,-0.000566633786365205
"6",5,1,13.1,-2.4,1022.7,9.9,14.8,21,29.9,27,6.1,0,0,-0.259756651127314
"7",4,1,20.3,10.4,1021.2,6.3,8.1,14,18.2,27,17.1,0.02,0,0.49787570725392
"8",5,1,22,5.8,1027.2,10,8.1,15.9,24.1,27,12.9,0.01,0,0.577626481820366
"9",2,1,18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,0,0.697252643670035
"10",3,1,20.8,5.2,1025.2,8.8,10.3,21,31.1,28,19,0,0,1.77388810031705
"11",3,1,15.8,-2.3,1026.7,10,17.6,27,36.9,28,6.1,0,0,0.278561077196195
"12",7,1,24.4,16.6,1016.4,8.6,10.5,15.9,19,28,21.9,0,0,-0.409289353439399
"13",7,1,26.9,10,1025,10,10.2,17.1,22,30,21.9,0,0,-1.17689055864144
"14",7,1,23.1,3.7,1029,10,12.9,19,28,32,18,0,0,-0.788105532630016
"15",2,1,27.3,10.8,1028.9,8.8,7.4,14,20,32,21.9,0,0,-0.917700541300491
"16",6,1,25.3,7,1035,10,14.4,21,31.1,32,21,0,0,0.77700341823648
"17",4,1,28.2,10.4,1025.6,10,11.3,21,28.9,32,25,0,0,-1.99433599794751
"18",3,1,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,1,-0.548853208930679
"19",7,1,24.5,12.9,1006.9,7.8,20.3,27,36.9,34,17.1,0.06,0,-0.728292451705182
"20",4,1,18.2,5,1028.1,10,12,17.1,26,34,12,0,0,0.168903762167332
"21",6,1,28.9,21.4,1014.3,10,10.5,15,21,34,24.1,0,0,-0.000566633786365205
"22",5,1,29.2,20.9,1022.9,10,8.5,13,20,36,19,0,0,-0.798074379450822
"23",1,1,33.6,24.8,1025.3,9,10.8,19,22.9,36,25,0.01,0,-1.08717093725419
"24",4,1,25,20.3,1001.1,1.9,25.7,35.9,46,36,18,0.01,1,-1.00742016268774
"25",6,1,35.2,22.5,1018.1,9.5,21,38.1,49,46,26.1,0,0,1.5146980829761
"26",5,1,35,24.4,1016.1,10,4.3,8.9,11.57,46,23,0.09,0,0.816878805519703
"27",4,1,39.9,37.6,1026.2,6.8,5.3,11.1,14.43,46,28,0,1,-1.11707747771661
"28",2,1,40.3,37.7,1021.4,6.9,12.1,26,34,46,37,0.2,1,-0.678448217601154
"29",1,1,43.4,43.2,1025.3,4.4,9.5,18.1,23.53,46,28.9,0.01,1,-1.86474098927703
"30",5,1,40.8,39.3,1010.6,4.6,5.9,11.1,14.43,46,32,0,0,-0.778136685809211
"31",7,1,36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,0,-0.887794000838074
"32",7,1,42.3,37.5,1011.3,6.7,7.5,17.1,20,46,37,0,1,-1.23670363956627
"33",4,1,43,36.7,1014,7.5,9.4,15,19.5,48,36,0,0,0.70722149049084
"34",6,1,41.3,33.1,1022.3,9.9,11.8,20,28,48,30.9,0,0,0.0293399066760519
